company_name,job_title,location,salaries,description
Verizon,Data Scientist,"Ashburn, VA","$86,000 - $127,000 a year (Indeed est.)","Knowledge of predictive and prescriptive analytics, data mining and machine learning a plus (Python and R preferred)...."
Valassis Digital,Staff Data Scientist,"Morrisville, NC","$99,000 - $146,000 a year (Indeed est.)","Staff Data Scientist – Machine Learning & Real-Time Decision Processing. You are excited about the complexity and challenges of creating intelligent, high..."
"SubjectWell, Inc",Data Scientist,"Austin, TX","$120,000 - $160,000 a year","Fluency in Python, R or another advanced data programming language. Strong skills in presentation and data visualization...."
Carpe Data,Data Scientist,"Santa Barbara, CA","$91,000 - $135,000 a year (Indeed est.)",Mentor junior data scientists. You will be reporting to the VP of Data Science and helping to drive our machine learning practice to the next level....
Syntelli Solutions,Data Scientist,"Jacksonville, FL","$97,000 - $143,000 a year (Indeed est.)",Ability to execute health insurance use cases via statistical applications such as R or Python. Identifying data patterns and trends....
MilliporeSigma,Data Science Intern,"Rockville, MD",,Develop data analytics to provide required insights into and chart out data science project milestones. Contribute to Operations related projects aimed at...
Tredence Inc.,Data Scientist,"Minneapolis, MN","$101,000 - $148,000 a year (Indeed est.)","Our capabilities range from Data Visualization, Data Management to Advanced analytics, Big Data and Machine Learning...."
Visa,Data Scientist,"Foster City, CA","$96,000 - $141,000 a year (Indeed est.)",To support our rapidly growing group we are looking for Data Scientists who are equally passionate about the opportunity to use Visa’s rich data to tackle...
AGM Tech Solutions,Data Scientist,"Parsippany, NJ","$100,000 - $148,000 a year (Indeed est.)","Using the data, the role is required to beproficient in statistics analytics and various algorithms in Machine Learning, Data Mining, Neural Network, and text..."
SERCO INC.,"Jr. Data Scientist, Herndon, VA NB52634747","Herndon, VA",,Creating and managing multiple machine learning models. And draw insights from large data sets. Applications of machine learni ng and advanced algorithms....
Grainger,Sr Data Scientist,"Lake Forest, IL",,Data Scientists play a meaningful role in supporting Grainger’s strategy by using your machine learning and statistical expertise to support initiatives that...
Virgin Pulse,Data Scientist,"Providence, RI","$78,000 - $116,000 a year (Indeed est.)","Experience with R, SQL and data visualization tools and techniques preferred. Access and manipulate data using SQL, R, Python in AWS databases for analytic and..."
"People, Technology & Processes",Junior Data Scientist,"Washington, DC",,"Knowledge of data mining methods, databases, data visualization and machine learning is required; The Junior Data Scientist provides the role of support in the..."
Confidential Search Firm,Data Scientist - Machine Learning,"Herndon, VA","$100,000 - $150,000 a year",Cloud (AWS/ Google Cloud) with data science/machine learning emphasis including technology implementations Develop both deployment architecture and scripts for...
